date,cnt_events,max_mag_day,avg_mag,min_mag_day,deep_events_percent,total_events,max_magnitude_overall,region_id,region_name
2026-03-08,2,5.7,5.550000000000001,5.4,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-09,6,5.9,4.616666666666666,4.0,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-10,2,4.7,4.6,4.5,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-11,2,4.4,4.35,4.3,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-12,1,4.1,4.1,4.1,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-13,1,5.0,5.0,5.0,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-14,3,4.4,4.2,4.0,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-15,6,4.9,4.666666666666667,4.3,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-16,1,4.6,4.6,4.6,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-17,2,4.5,4.4,4.3,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-18,3,4.8,4.7,4.6,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-22,1,4.4,4.4,4.4,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-23,2,4.9,4.7,4.5,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-25,1,4.1,4.1,4.1,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-26,8,6.5,4.9375,4.6,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-27,4,5.1,4.55,4.2,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-28,1,4.1,4.1,4.1,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-30,2,4.5,4.45,4.4,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-03-31,1,4.5,4.5,4.5,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-04-01,1,4.9,4.9,4.9,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-04-02,1,5.0,5.0,5.0,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-04-03,1,4.4,4.4,4.4,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-04-04,3,5.0,4.533333333333333,4.0,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
2026-04-06,1,4.9,4.9,4.9,21.428571428571427,56,6.5,JP_HON,Япония (Хонсю)
